FINDING_ID,ASTRA_SEVERITY,START_STATUS,REMOTE_STATUS,CURRENT_STATUS,CURRENT_EVIDENCE,FIX_COMMIT_IF_ANY,ACTION_REQUIRED
O003,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/organization/models.py; Отрицательные, бесконечные, NaN, bool и дробные целочисленные ресурсы отвергаются.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O004,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/organization/runtime.py; Вызываются все обязательные проверяющие, включая risk; любое вето запрещает завершение.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O005,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/organization/runtime.py; Резерв и старт попытки — одна транзакция; результат и расчёт расхода — одна транзакция. Неизвестный расход остаётся зарезервированным после рестарта.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O006,P2,OPEN,OPEN,FIXED,bossman-core/bossman_v3/organization/treasury.py; Concurrency/GPU memory освобождаются после расчёта попытки; в накопленный расход попадают потреблённые ресурсы.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O007,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/organization/memory_scope.py; Владение фактами и разрешение экспорта проверяются по сохранённым данным; подложный Department не расширяет доступ.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
PROD-001,P2,OPEN,OPEN,FIXED,"command-center/bcc/v2/memory/context_pack.py; V2 считает окончательный текст контекста, включая длинные source/heading и разделители.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
PROD-002,P1,OPEN,OPEN,FIXED,command-center/bcc/v2/openrouter_ext.py; Неизвестная цена остаётся null при parsing → catalog → registry → routing → inference. Для старых моделей требуется подтверждение цен; тариф Fable проверяет его канонический бюджетный адаптер.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
PROD-003,P2,OPEN,OPEN,FIXED,command-center/bcc/metrics.py; Ошибка/N/A NVIDIA process query остаётся unknown; измеренный ноль возможен только после успешного пустого ответа.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
PROD-004,P2,OPEN,OPEN,FIXED,command-center/ui/pages/mission_console.js; API фильтрует миссию до LIMIT; UI получает её задачи страницами и явно показывает неполную загрузку.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-007,P1,OPEN,PARTIALLY_FIXED,FIXED,"bossman-core/bossman_v3/memory/journal.py; Идентификаторы журналов ограничены; traversal, symlink и зарезервированные имена Windows запрещены.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-008,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/memory/assembler.py; Редактируется весь PEM-блок, включая незакрытый; структурированные секретные поля очищаются рекурсивно.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-009,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/organization/memory_scope.py; Наследование строится по владельцам в хранилище, а не по переданному префиксу.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-010,P2,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/memory/assembler.py; В лимит V3 включены заголовок, разделители и окончательная сериализация.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
